itemId,commission,"room_area, m2",rooms_count,floor,floors_count,house_type,lat,lng,colors,url,metro_distance,station_1,station_2,station_3,metro_distance_1,metro_distance_2,metro_distance_3,name,address,"price, rub"
1390909390,Собственник,11,3,8,9,Кирпичный,55.826463,37.523267,['#F4D7CF'],/moskva/komnaty/komnata_11_m_v_3-k.89_et._1390909390,"{'2159': 1.8, '2182': 1.6, '25': 1.8}",2159,2182,25,1.8,1.6,1.8,Коптево,"Москва, Новопетровская улица, 16А",3015000
2099540270,Посредник,37,3,5,8,Кирпичный,55.682904,37.526914,['#E42313'],/moskva/komnaty/komnata_37_m_v_3-k.58_et._2099540270,"{'129': 1.2, '74': 2.2, '96': 1.5}",129,74,96,1.2,2.2,1.5,Университет,"Москва, улица Крупской, 11",10600000
1927299008,Собственник,30,3,6,8,Кирпичный,55.666767,37.626762,['#ADACAC'],/moskva/komnaty/komnata_30_m_v_3-k_68_et._1927299008,"{'22': 1.6, '69': 1.2, '70': 1.4}",22,69,70,1.6,1.2,1.4,Нагорная,"Москва, Каширское шоссе, 8к3",4800000
2086809836,Посредник,14.4,3,3,5,Кирпичный,55.817557,37.732359,"['#E42313', '#F4D7CF']",/moskva/komnaty/komnata_144_m_v_3-k.35_et._2086809836,"{'127': 0.4, '135': 1.8, '2177': 1.8}",127,135,2177,0.4,1.8,1.8,Бульвар Рокоссовского,"Москва, 5-й проезд Подбельского, 4Ак3",4000000
2089177396,Посредник,15,3,3,5,Кирпичный,55.817557,37.732359,"['#E42313', '#F4D7CF']",/moskva/komnaty/komnata_15_m_v_3-k._35_et._2089177396,,,,,,,,Бульвар Рокоссовского,"Москва, 5-й проезд Подбельского, 4Ак3",4100000
2032942717,Собственник,17,3,5,5,Кирпичный,55.8415838617573,37.5726059727263,"['#ADACAC', '#BED12C']",/moskva/komnaty/komnata_17_m_v_3-k_55_et._2032942717,"{'2157': 0.8, '23': 1.3, '85': 0.6}",2157,23,85,0.8,1.3,0.6,Петровско-Разумовская,"Москва, Линейный проезд, 6",3900000
2087722509,Собственник,17,3,5,5,Кирпичный,55.84165,37.572818,"['#ADACAC', '#BED12C']",/moskva/komnaty/komnata_17_m_v_3-k.55_et._2087722509,"{'2157': 0.8, '23': 1.3, '85': 0.6}",2157,23,85,0.8,1.3,0.6,Петровско-Разумовская,"Москва, Линейный проезд, 6",4150000
2129759861,Посредник,17,3,5,5,Кирпичный,55.841656,37.572819,"['#ADACAC', '#BED12C']",/moskva/komnaty/komnata_17_m_v_3-k.55_et._2129759861,"{'2157': 0.8, '23': 1.3, '85': 0.6}",2157,23,85,0.8,1.3,0.6,Петровско-Разумовская,"Москва, Линейный проезд, 6",4150000
2054755471,Собственник,20.9,2,7,8,Кирпичный,55.818508,37.504043,['#4FB04F'],/moskva/komnaty/komnata_209_m_v_2-k.78_et._2054755471,"{'2159': 0.9, '2160': 1.2, '25': 0.4}",2159,2160,25,0.9,1.2,0.4,Войковская,"Москва, улица Зои и Александра Космодемьянских, 4к3",7000000
2091657193,Посредник,14.3,3,2,8,Кирпичный,55.818508,37.504043,['#4FB04F'],/moskva/komnaty/komnata_143_m_v_3-k.28_et._2091657193,"{'2159': 0.9, '2160': 1.2, '25': 0.4}",2159,2160,25,0.9,1.2,0.4,Войковская,"Москва, улица Зои и Александра Космодемьянских, 4к3",3450000
2084725589,Посредник,18.8,3,5,5,Кирпичный,55.700613,37.742762,['#943E90'],/moskva/komnaty/komnata_188_m_v_3-k.55_et._2084725589,"{'119': 1.1, '27': 1.3, '86': 1.2}",119,27,86,1.1,1.3,1.2,Текстильщики,"Москва, улица Малышева, 7",3250000
2105374374,Посредник,27,3,6,8,Кирпичный,55.811346,37.492626,['#F4D7CF'],/moskva/komnaty/komnata_27_m_v_3-k.68_et._2105374374,"{'2159': 1.5, '2160': 0.3, '25': 0.9}",2159,2160,25,1.5,0.3,0.9,Стрешнево,"Москва, улица Константина Царёва, 6",4300000
2045201366,Посредник,17.8,3,4,5,Кирпичный,55.700212,37.744118,['#943E90'],/moskva/komnaty/komnata_178_m_v_3-k._45_et._2045201366,,,,,,,,Текстильщики,"Москва, улица Юных Ленинцев, 33",3400000
924285072,Собственник,16,3,4,5,Кирпичный,55.7003128358055,37.7443761041289,['#943E90'],/moskva/komnaty/komnata_16_m_v_3-k.45_et._924285072,"{'119': 1.2, '27': 1.3, '86': 1.3}",119,27,86,1.2,1.3,1.3,Текстильщики,"Москва, улица Юных Ленинцев, 33",3300000
2046491160,Посредник,13.8,2,1,5,Кирпичный,55.823737,37.510682,['#4FB04F'],/moskva/komnaty/komnata_138_m_v_2-k._15_et._2046491160,,,,,,,,Войковская,"Москва, Старопетровский проезд, 12к7",4790000
2102702959,Собственник,15,3,2,5,Кирпичный,55.845274,37.586877,"['#ADACAC', '#F4D7CF']",/moskva/komnaty/komnata_15_m_v_3-k.25_et._2102702959,"{'2157': 1, '23': 0.4, '85': 1.2}",2157,23,85,1.0,0.4,1.2,Владыкино,"Москва, Ботаническая улица, 10А",4500000
2068129970,Посредник,15.8,3,2,9,Панельный,55.696387,37.494827,['#FFCD1C'],/moskva/komnaty/komnata_158_m_v_3-k._29_et._2068129970,,,,,,,,Раменки,"Москва, Мичуринский проспект, 38",3950000
2092802415,Собственник,14,1,3,5,Кирпичный,55.699943,37.746319,['#BED12C'],/moskva/komnaty/komnata_14_m_v_1-k.35_et._2092802415,"{'119': 1.3, '27': 1.2, '86': 1.4}",119,27,86,1.3,1.2,1.4,Волжская,"Москва, улица Юных Ленинцев, 20/2",2700000
2092086446,Посредник,21.7,3,5,8,Кирпичный,55.681561,37.52189,['#E42313'],/moskva/komnaty/komnata_217_m_v_3-k._58_et._2092086446,,,,,,,,Проспект Вернадского,"Москва, улица Марии Ульяновой, 19",5450000
2015151878,Собственник,31.3,3,1,16,Панельный,55.666119,37.578022,['#F07E24'],/moskva/komnaty/komnata_31.3_m_v_3-k_116_et._2015151878,"{'70': 1.8, '74': 1.5, '98': 1.6}",70,74,98,1.8,1.5,1.6,Новые Черемушки,"Россия, Москва, Зюзинская улица, 4к1",8500000
2092563454,Собственник,20,3,5,9,Кирпичный,55.679344,37.525574,['#E42313'],/moskva/komnaty/komnata_20_m_v_3-k.59_et._2092563454,"{'129': 1.6, '74': 2.1, '96': 1.3}",129,74,96,1.6,2.1,1.3,Проспект Вернадского,"Москва, улица Марии Ульяновой, 7",6000000
2122078614,Собственник,11.5,2,2,16,Монолитный,55.682686,37.718258,['#BED12C'],/moskva/komnaty/komnata_115_m_v_2-k.216_et._2122078614,"{'27': 2.4, '61': 2.8, '86': 1.3}",27,61,86,2.4,2.8,1.3,Печатники,"Москва, улица Гурьянова, 41",3500000
1490162493,Собственник,18.7,3,1,9,Панельный,55.68682861,37.72738647,['#BED12C'],/moskva/komnaty/komnata_187_m_v_3-k.19_et._1490162493,"{'27': 1.7, '61': 2.5, '86': 0.7}",27,61,86,1.7,2.5,0.7,Печатники,"Москва, Шоссейная улица, 19к3",3950000
2030666368,Посредник,19,3,1,9,Панельный,55.686827,37.727382,['#BED12C'],/moskva/komnaty/komnata_19_m_v_3-k.19_et._2030666368,"{'27': 1.7, '61': 2.5, '86': 0.7}",27,61,86,1.7,2.5,0.7,Печатники,"Москва, Шоссейная улица, 19к3",3950000
2038393538,Посредник,36,3,3,5,Кирпичный,55.662908,37.614608,['#ADACAC'],/moskva/komnaty/komnata_36_m_v_3-k.35_et._2038393538,"{'22': 1.1, '69': 1.1, '70': 0.6}",22,69,70,1.1,1.1,0.6,Нахимовский проспект,"Москва, Нахимовский проспект, 5к1",7950000
2077201331,Посредник,14.8,3,3,5,Кирпичный,55.697782,37.747047,['#BED12C'],/moskva/komnaty/komnata_148_m_v_3-k._35_et._2077201331,,,,,,,,Волжская,"Москва, 7-я улица Текстильщиков, 6/19",3000000
2105765599,Посредник,11.6,2,2,9,Панельный,55.684067,37.724526,['#BED12C'],/moskva/komnaty/komnata_116_m_v_2-k.29_et._2105765599,"{'27': 2, '61': 2.5, '86': 1}",27,61,86,2.0,2.5,1.0,Печатники,"Москва, улица Кухмистерова, 12/23",658800
